N. articolo SPAI;N. articolo CEAP;N. articolo C&C;ARTICOLO descrizione;IMBALLAGGIO da pz;UNITA';STOCK SPAI;DATA CONTROLLO stock SPAI  da segr;ELIMINARE ARTICOLO  a fine stock;Quantità MINIMA;OSSERVAZIONI;da ordinare SPAI;Ordinare ? (AUTOMATICO)
A1;;455898;Anelli rinforzo per fogli da classatore;1000;PZ;4;15/26.3.2021;;1;;;NO
A2;;;Agenda giornaliera;1;PZ;0;15/26.3.2021;Si;0;;;No, attendere fine stock ed eliminare articolo
A3;;;Agenda calendario;1;PZ;0;15/26.3.2021;Si;0;;;No, attendere fine stock ed eliminare articolo
B1;100000058;;Bloc-notes A4;1;PZ;0;15/26.3.2021;Si;0;;;No, attendere fine stock ed eliminare articolo
B10;100000120;;Bucatrici Leitz 5005 5008;1;PZ;5;15/26.3.2021;;2;;;NO
B11;;;Bucatrici Leitz 5138;1;PZ;;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
B12;100000019;;Bucatrici Leitz 5180;1;PZ;1;15/26.3.2021;;1;;;NO
B13;;;Bucatrici Rapid C20;1;PZ;2;15/26.3.2021;Si;1;;;No, attendere fine stock ed eliminare articolo
B14;;954440009;Bucatrici Leitz 5012 4 fori;1;PZ;1;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
B15;;387034882;Buste formato C4 (bianche);250;SC;520;15/26.3.2021;;250;;;NO
B15 CI;100000508;;Buste cantone formato C4 (posta interna/corrispondenza);250;SC;500;15/26.3.2021;;250;;;NO
B16;;387080796;Buste formato C5 (bianche);500;SC;406;21.04.2021;;500;;;SI, 94
B17;;387030786;Buste formato C6 (bianche);500;SC;160;21.04.2021;;500;;;SI, 340
B18;;387034968;Buste formato B4 (bianche);250;SC;517;21.04.2021;;250;;;NO
B19;;;Buste spedizione CD;1;PZ;39;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
B2;100000058;;Bloc-notes A5;1;PZ;13;21.04.2021;;5;;;NO
B20;;387032966;Buste formato B5 (bianche);500;SC;0;15/26.3.2021;;500;;;SI, 500
B21;;;Buste formato C6/5 con finestra (bianche);500;SC;640;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
B22;;;Buste formato C6/5 neutre (bianche);500;SC;802;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
B3;;173423917;Bloc-notes A6;1;PZ;5;21.04.2021;;5;;;NO
B4;;;Bloc-notes A4 SPAI;50;SC;1950;01.06.2021;;;sono in archivio (piano -1);;Manca quantità MINIMA
B5;100000270;;Batterie AAA 1.5V;;;0;15/26.3.2021;;;;da ordinare;Manca quantità MINIMA
B6;100000193;;Batterie AA 1.5V;4;SC;16;15/26.3.2021;;;;;Manca quantità MINIMA
B7;;968492;Batterie 9V;22;PZ;22;15/26.3.2021;;;;;Manca quantità MINIMA
B8;;135033979;Batterie CR 2025;1;PZ;3;15/26.3.2021;;;;;Manca quantità MINIMA
B8.2;;135030428;Batterie CR2450;1;PZ;4;15/26.3.2021;;;;;Manca quantità MINIMA
B8.3;;135052550;Batterie LR54 ;;;;15/26.3.2021;;;;;Manca quantità MINIMA
B8.4;;;Batterie LR1130;;;0;15/26.3.2021;;;Fuori commercio;;Manca quantità MINIMA
B9;;135002906;Batterie LR20 1.5V;2;SC;14;15/26.3.2021;;;;;Manca quantità MINIMA
BC.02;;;Busta cantone C6/5 con finestra;500;SC;2500;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
BC.03;;;Busta cantone C5 ;500;SC;1000;15/26.3.2021;Si;;fuori produzione;;No, attendere fine stock ed eliminare articolo
BC.04;100000504;;Buste cantone B5;500;SC;3000;15/26.3.2021;;2000;;;NO
BC.05;100000509;;Buste cantone C4;250;SC;3250;15/26.3.2021;;500;;;NO
BC.06;100000506;;Buste cantone marroni B4;200;SC;3200;15/26.3.2021;;400;;;NO
BC.07;100000507;;Buste cantone C5 con finestra (500);500;SC;4500;15/26.3.2021;;2000;;;NO
C1;;223632123;Calamite 5 colori 32 mm MAUL;10;SC;20;15/26.3.2021;;20;;;NO
C10;100000165;;Cancellino magnetico per lavagna bianca;1;PZ;9;21.04.2021;;5;;;NO
C15;;;Carta millimetrata A3;1;PZ;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C16;;;carta millimetrata A4;1;PZ;2;21.04.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C2;;;Calamite bianche 20/25 mm;;;0;15/26.3.2021;Si;;;;No, attendere fine stock ed eliminare articolo
C20;;681301;Fogli Flipchart;;SC;17;21.04.2021;;5;;;NO
